authors,publication_year,title,journal,doi,affiliations
YASUKAWA K;ENSTROM DA;PARKER PG;JONES TC,2010,MALE RED-WINGED BLACKBIRDS WITH EXPERIMENTALLY DULLED EPAULETS EXPERIENCE NO DISADVANTAGE IN SEXUAL SELECTION,JOURNAL OF FIELD ORNITHOLOGY,10.1111/J.1557-9263.2009.00258.X,"DEPARTMENT OF BIOLOGY, BELOIT COLLEGE, BELOIT, WISCONSIN 53511, UNITED STATES; ILLINOIS NATURAL HISTORY SURVEY, UNIVERSITY OF ILLINOIS, CHAMPAIGN, ILLINOIS 61820, UNITED STATES; DEPARTMENT OF ZOOLOGY, THE OHIO STATE UNIVERSITY, COLUMBUS, OHIO 43210, UNITED STATES; DEPARTMENT OF BIOLOGY, UNIVERSITY OF MISSOURI ST, LOUIS, ST. LOUIS, MISSOURI 63121, UNITED STATES; DEPARTMENT OF BIOLOGICAL SCIENCES, EAST TENNESSEE STATE UNIVERSITY, JOHNSON CITY, TENNESSEE 37614, UNITED STATES"
JOLY D;SCHIFFER M,2010,COEVOLUTION OF MALE AND FEMALE REPRODUCTIVE STRUCTURES IN DROSOPHILA,GENETICA,10.1007/S10709-009-9392-9,"LABORATOIRE EVOLUTION, GÉNOMES ET SPÉCIATION, CNRS, UPR 9034, 91405 ORSAY CEDEX, BÂT 13, AVENUE DE LA TERRASSE, 91 198 GIF-SUR-YVETTE, FRANCE"
HAMILTON WJ;POULIN R,1997,THE HAMILTON AND ZUK HYPOTHESIS REVISITED: A META-ANALYTICAL APPROACH,BEHAVIOUR,10.1163/156853997X00485,"DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OTAGO, DUNEDIN, P.O. BOX 56, NEW ZEALAND"
GONTARD-DANEK MC;MØLLER AP,1999,THE STRENGTH OF SEXUAL SELECTION: A METAANALYSIS OF BIRD STUDIES,BEHAVIORAL ECOLOGY,10.1093/BEHECO/10.5.476,"LABORATOIRE D'ECOLOGIE, CNRS URA 258, UNIVERSITÉ PIERRE ET MARIE CURIE, BÂT. A, F-75252 PARIS CEDEX 5, 7ÈME ÉTAGE, FRANCE"
MØLLER AP;THORNHILL R,1998,BILATERAL SYMMETRY AND SEXUAL SELECTION: A META-ANALYSIS,AMERICAN NATURALIST,10.1086/286110,"LABORATOIRE D'ECOLOGIE, CNRS URA 258, BÂT. A, F-75252 PARIS CEDEX 5, 7 QUAI ST. BERNARD, CASE 237, FRANCE; DEPARTMENT OF BIOLOGY, UNIVERSITY OF NEW MEXICO, ALBUQUERQUE, NM 87131-1091, UNITED STATES"
SOMA M;GARAMSZEGI LZ,2011,RETHINKING BIRDSONG EVOLUTION: META-ANALYSIS OF THE RELATIONSHIP BETWEEN SONG COMPLEXITY AND REPRODUCTIVE SUCCESS,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARQ219,"LABORATORY FOR ANIMAL BEHAVIOR AND INTELLIGENCE, DEPARTMENT OF BIOLOGY, HOKKAIDO UNIVERSITY, KITA-KU, SAPPORO, HOKKAIDO, 060-0810, JAPAN; DEPARTMENT OF EVOLUTIONARY ECOLOGY, ESTACION BIOLOGICA DE DONANA-CSIC, 41092, SEVILLE, C/AMERICO VESPUCIO, S/N, SPAIN"
KELLY CD,2008,"THE INTERRELATIONSHIPS BETWEEN RESOURCE-HOLDING POTENTIAL, RESOURCE-VALUE AND REPRODUCTIVE SUCCESS IN TERRITORIAL MALES: HOW MUCH VARIATION CAN WE EXPLAIN?",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-007-0518-8,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF TORONTO AT MISSISSAUGA, MISSISSAUGA, ON, CANADA; SCHOOL OF BOTANY AND ZOOLOGY, AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, ACT, AUSTRALIA; DEPARTMENT OF PSYCHOLOGY, DALHOUSIE UNIVERSITY, HALIFAX, NS, CANADA"
DUBOIS F;CÉZILLY F,2002,BREEDING SUCCESS AND MATE RETENTION IN BIRDS: A META-ANALYSIS,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-002-0521-Z,"EQUIPE ECOLOGIE EVOLUTIVE, UMR CNRS 5561 BIOGÉOSCIENCES, UNIVERSITÉ DE BOURGOGNE, 21000 DIJON, 6 BLVD. GABRIEL, FRANCE; DEPARTEMENT DES SCI. BIOLOGIQUES, UQÀM, SUCCURSALE CENTRE VILLE, MONTRÉAL, QUE. H3C 3P8, CASE POSTALE 8888, CANADA"
BONCORAGLIO G;SAINO N,2007,HABITAT STRUCTURE AND THE EVOLUTION OF BIRD SONG: A META-ANALYSIS OF THE EVIDENCE FOR THE ACOUSTIC ADAPTATION HYPOTHESIS,FUNCTIONAL ECOLOGY,10.1111/J.1365-2435.2006.01207.X,"DIPARTIMENTO DI BIOLOGIA, UNIVERSITÀ DI MILANO, I-20133 MILANO, VIA CELORIA 26, ITALY"
SIMMONS LW,2005,"THE EVOLUTION OF POLYANDRY: SPERM COMPETITION, SPERM SELECTION, AND OFFSPRING VIABILITY","ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS",10.1146/ANNUREV.ECOLSYS.36.102403.112501,"EVOLUTIONARY BIOLOGY RESEARCH GROUP, SCHOOL OF ANIMAL BIOLOGY, UNIVERSITY OF WESTERN AUSTRALIA, NEDLANDS, WA 6009, AUSTRALIA"
MØLLER A;JENNIONS M,2001,HOW IMPORTANT ARE DIRECT FITNESS BENEFITS OF SEXUAL SELECTION?,NATURWISSENSCHAFTEN,10.1007/S001140100255,"LABORATOIRE D'ECOLOGIE EVOLUTIVE PARASITAIRE, CNRS FRE 2365, BÂT. A, 7ÈME ÉTAGE, 75252 PARIS CEDEX 5, 7 QUAI ST. BERNARD, CASE 237, FRANCE; DIVISION OF BOTANY AND ZOOLOGY, AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, ACT 0200, AUSTRALIA"
FISKE P;RINTAMÄKI PT;KARVONEN E,1998,MATING SUCCESS IN LEKKING MALES: A META-ANALYSIS,BEHAVIORAL ECOLOGY,10.1093/BEHECO/9.4.328,"DEPARTMENT OF ZOOLOGY, UPPSALA UNIVERSITY, S-752 36 UPPSALA, VILLAVÄGEN 9, SWEDEN; DEPARTMENT OF ZOOLOGY, NORWEGIAN UNIV. OF SCI. AND TECHNOL., N-7055 DRAGVOLL, NORWAY"
NAKAGAWA S;OCKENDON N;GILLESPIE DOS;HATCHWELL BJ;BURKE T,2007,ASSESSING THE FUNCTION OF HOUSE SPARROWS' BIB SIZE USING A FLEXIBLE META-ANALYSIS METHOD,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARM050,"DEPARTMENT OF ANIMAL AND PLANT SCIENCES, UNIVERSITY OF SHEFFIELD, SHEFFIELD S10 2TN, UNITED KINGDOM"
ALBRECHT T;KREISINGER J;PIÁLEK J,2006,THE STRENGTH OF DIRECT SELECTION AGAINST FEMALE PROMISCUITY IS ASSOCIATED WITH RATES OF EXTRAPAIR FERTILIZATIONS IN SOCIALLY MONOGAMOUS SONGBIRDS,AMERICAN NATURALIST,10.1086/502633,"INSTITUTE OF VERTEBRATE BIOLOGY, ACADEMY OF SCIENCES OF THE CZECH REPUBLIC, CZ-675 02 STUDENEC 122, CZECH REPUBLIC; DEPARTMENT OF ZOOLOGY, BIODIVERSITY RESEARCH GROUP, CHARLES UNIVERSITY IN PRAGUE, CZ-128 44 PRAHA 2, VINIČNÁ 7, CZECH REPUBLIC; DEPARTMENT OF ECOLOGY, CHARLES UNIVERSITY IN PRAGUE, CZ-128 44 PRAHA 2, VINIČNÁ 7, CZECH REPUBLIC"
GARAMSZEGI LZ;MØLLER AP,2004,EXTRAPAIR PATERNITY AND THE EVOLUTION OF BIRD SONG,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARH041,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF ANTWERP, B-2610 WILRIJK, UNIVERSITEITSPLEIN 1, BELGIUM; LAB. DE PARASITOLOGIE EVOLUTIVE, CNRS UMR 7103, BÂT. A, F-75252 PARIS CEDEX 05, 7 QUAI ST. BERNARD, CASE 237, FRANCE"
AKÇAY E;ROUGHGARDEN J,2007,EXTRA-PAIR PATERNITY IN BIRDS: REVIEW OF THE GENETIC BENEFITS,EVOLUTIONARY ECOLOGY RESEARCH,NA,"DEPARTMENT OF BIOLOGICAL SCIENCES, STANFORD UNIVERSITY, 371 SERRA MALL, STANFORD, CA 94305, UNITED STATES"
ALISSA L.,2018,EFFECT OF REPRODUCTIVE SITE LIMITATION ON THE INTENSITY OF SEXUAL SELECTION AND THE QUALITY OF PATERNAL CARE: A META-ANALYSIS,THESIS,10.11606/D.41.2018.TDE-23102018-090541,"UNIVERSITY OF SAO PAULO, SAO PAULO, BRAZIL"
AGUIAR DEL MATTO,2018,SPERM COMPETITION GAMES BETWEEN MAJORS AND MINORS: A META-REGRESSION OF FISHES WITH ALTERNATIVE MATING TACTICS,THESIS,10.11606/D.41.2018.TDE-20092018-145433,"UNIVERSITY OF SAO PAULO, SAO PAULO, BRAZIL"
MACEDO-REGO R.; JENNIONS M.D.; SANTOS E.S.A.,2020,POST-MATING EPISODES OF SEXUAL SELECTION ARE UBIQUITOUS IN ANIMAL 220 SPECIES AND THE WAY WE MEASURE MATING SUCCESS MATTERS: A META-ANALYSIS,THESIS,10.11606/T.41.2020.TDE-30112020-101600,"UNIVERSITY OF SAO PAULO, SAO PAULO, BRAZIL; THE AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, AUSTRALIA; UNIVERSITY OF SAO PAULO, SAO PAULO, BRAZIL"
MACEDO-REGO R.; JENNIONS M.D.; SANTOS E.S.A.,2020,FEMALES ARE NOT MONOPOLIZED BY MALES: A META-ANALYSIS CONTRASTING MATING SYSTEMS IN NON-HUMAN ANIMALS,THESIS,10.11606/T.41.2020.TDE-30112020-101600,"UNIVERSITY OF SAO PAULO, SAO PAULO, BRAZIL; THE AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, AUSTRALIA; UNIVERSITY OF SAO PAULO, SAO PAULO, BRAZIL"
MACEDO-REGO R.; JENNIONS M.D.; SANTOS E.S.A.,2020,"LARGER FEMALES AND LARGER MALES PRODUCE MORE OFFSPRING, REGARDLESS OF THE SOCIAL MATING SYSTEM: A META-ANALYSES ON ANIMALS",THESIS,10.11606/T.41.2020.TDE-30112020-101600,"UNIVERSITY OF SAO PAULO, SAO PAULO, BRAZIL; THE AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, AUSTRALIA; UNIVERSITY OF SAO PAULO, SAO PAULO, BRAZIL"
MARMOL S.,2022,IMPACTO DE LOS CONTAMINANTES EN LA CALIDAD ESPERM�TICA DE LOS PECES: REVISI�N LITERARIA Y META-AN�LISIS,THESIS,NA,"BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA, PUEBLA, MEXICO"
DOUGHERTY L.R.,2023,THE EFFECT OF INDIVIDUAL STATE ON THE STRENGTH OF MATE CHOICE IN FEMALES AND MALES,BEHAVIOURAL ECOLOGY,10.1093/BEHECO/ARAC100,"UNIVERSITY OF LIVERPOOL, LIVERPOOL, UNITED KINGDOM"
GOMEZ-LLANO M.; FARIA G.S.; GARCÍA-ROA R.; NOBLE D.W.A.; CARAZO P.,2023,"MALE HARM SUPPRESSES FEMALE FITNESS, AFFECTING THE DYNAMICS OF ADAPTATION AND EVOLUTIONARY RESCUE",EVOLUTION LETTERS,10.1093/EVLETT/QRAC002,"UNIVERSITY OF ARKANSAS, FAYETTEVILLE, UNITED STATES; UNIVERSITY OF EAST ANGLIA, NORWICH, UNITED KINGDOM; UNIVERSITY OF VALENCIA, VALENCIA, SPAIN; THE AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, AUSTRALIA"
RICHARDSON J.; ZUK M.,2023,UNLIKE A VIRGIN: A META-ANALYTICAL REVIEW OF FEMALE MATING STATUS IN STUDIES OF FEMALE MATE CHOICE,BEHAVIOURAL ECOLOGY,10.1093/BEHECO/ARAC091,"UNIVERSITY OF MINNESOTA, SAINT PAUL, UNITED STATES"
