author_complete_name,author_given_name,author_surname,title,journal,doi,author_order,total_number_authors,automated_gender,automated_certainty,manual_gender
Slatyer R.A.,Rachel,Slatyer,Estimating genetic benefits of polyandry from experimental studies: A meta-analysis,Biological Reviews,10.1111/j.1469-185X.2011.00182.x,1,4,female,1,female
Mautz B.S.,Brian,Mautz,Estimating genetic benefits of polyandry from experimental studies: A meta-analysis,Biological Reviews,10.1111/j.1469-185X.2011.00182.x,2,4,male,1,male
Backwell P.R.Y.,Patricia,Backwell,Estimating genetic benefits of polyandry from experimental studies: A meta-analysis,Biological Reviews,10.1111/j.1469-185X.2011.00182.x,3,4,female,1,female
Jennions M.D.,Michael,Jennions,Estimating genetic benefits of polyandry from experimental studies: A meta-analysis,Biological Reviews,10.1111/j.1469-185X.2011.00182.x,4,4,male,1,male
Hayward A.,April,Hayward,The cost of sex: Quantifying energetic investment in gamete production by males and females,PLoS ONE,10.1371/journal.pone.0016557,1,2,female,1,female
Gillooly J.,James,Gillooly,The cost of sex: Quantifying energetic investment in gamete production by males and females,PLoS ONE,10.1371/journal.pone.0016557,2,2,male,1,male
Weir L.K.,Laura,Weir,The influence of operational sex ratio on the intensity of competition for mates,American Naturalist,10.1086/657918,1,3,female,1,female
Grant J.W.A.,James,Grant,The influence of operational sex ratio on the intensity of competition for mates,American Naturalist,10.1086/657918,2,3,male,1,male
Hutchings J.A.,Jeffrey,Hutchings,The influence of operational sex ratio on the intensity of competition for mates,American Naturalist,10.1086/657918,3,3,male,1,male
Evans S.R.,Simon,Evans,"Age, sex and beauty: Methodological dependence of age- and sex-dichromatism in the great tit Parus major",Biological Journal of the Linnean Society,10.1111/j.1095-8312.2010.01548.x,1,4,male,1,male
Hinks A.E.,Amy,Hinks,"Age, sex and beauty: Methodological dependence of age- and sex-dichromatism in the great tit Parus major",Biological Journal of the Linnean Society,10.1111/j.1095-8312.2010.01548.x,2,4,female,1,female
Wilkin T.A.,Teddy,Wilkin,"Age, sex and beauty: Methodological dependence of age- and sex-dichromatism in the great tit Parus major",Biological Journal of the Linnean Society,10.1111/j.1095-8312.2010.01548.x,3,4,male,0.94,male
Sheldon B.C.,Ben,Sheldon,"Age, sex and beauty: Methodological dependence of age- and sex-dichromatism in the great tit Parus major",Biological Journal of the Linnean Society,10.1111/j.1095-8312.2010.01548.x,4,4,male,0.99,male
Parker T.H.,Timothy,Parker,The blue tit's song is an inconsistent signal of male condition,Behavioral Ecology,10.1093/beheco/arl041,1,3,male,1,male
Barr I.,Iain,Barr,The blue tit's song is an inconsistent signal of male condition,Behavioral Ecology,10.1093/beheco/arl041,2,3,male,1,male
Griffith S.,Simon,Griffith,The blue tit's song is an inconsistent signal of male condition,Behavioral Ecology,10.1093/beheco/arl041,3,3,male,1,male
Albrecht T.,Tomáš,Albrecht,The strength of direct selection against female promiscuity is associated with rates of extrapair fertilizations in socially monogamous songbirds,American Naturalist,10.1086/502633,1,3,male,1,male
Kreisinger J.,Jakub,Kreisinger,The strength of direct selection against female promiscuity is associated with rates of extrapair fertilizations in socially monogamous songbirds,American Naturalist,10.1086/502633,2,3,male,1,male
Piálek J.,Jaroslav,Piálek,The strength of direct selection against female promiscuity is associated with rates of extrapair fertilizations in socially monogamous songbirds,American Naturalist,10.1086/502633,3,3,male,0.99,male
Simmons L.W.,Leigh,Simmons,"The evolution of polyandry: Sperm competition, sperm selection, and offspring viability","Annual Review of Ecology, Evolution, and Systematics",10.1146/annurev.ecolsys.36.102403.112501,1,1,female,0.71,male
Arnqvist G.,Göran,Arnqvist,The evolution of infidelity in socially monogamous passerines: The strength of direct and indirect selection on extrapair copulation behavior in females,American Naturalist,10.1086/429350,1,2,male,1,male
Kirkpatrick M.,Mark,Kirkpatrick,The evolution of infidelity in socially monogamous passerines: The strength of direct and indirect selection on extrapair copulation behavior in females,American Naturalist,10.1086/429350,2,2,male,1,male
Arnqvist G.,Göran,Arnqvist,Assortative mating by size: A meta-analysis of mating patterns in water striders,Evolutionary Ecology,10.1007/BF01237684,1,4,male,1,male
Rowe L.,Locke,Rowe,Assortative mating by size: A meta-analysis of mating patterns in water striders,Evolutionary Ecology,10.1007/BF01237684,2,4,male,0.94,male
Krupa J.J.,James,Krupa,Assortative mating by size: A meta-analysis of mating patterns in water striders,Evolutionary Ecology,10.1007/BF01237684,3,4,male,1,male
Sih A.,Andy,Sih,Assortative mating by size: A meta-analysis of mating patterns in water striders,Evolutionary Ecology,10.1007/BF01237684,4,4,male,0.98,male
Nolazco S.,Sergio,Nolazco,Ornaments are equally informative in male and female birds,Nature Communications,10.1038/s41467-022-33548-7,1,4,male,1,male
Delhey K.,Kaspar,Delhey,Ornaments are equally informative in male and female birds,Nature Communications,10.1038/s41467-022-33548-7,2,4,male,1,male
